"country_code","indicator_code","indicator_name","year","value","unit","value_type","source"
"MMR","GGXWDG_NGDP","General government gross debt","2001","262.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2002","190.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2003","146.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2004","126.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2005","119.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2006","103.1","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2007","77.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2008","59.8","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2009","56.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2010","54.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2011","49.9","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2012","48.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2013","44.8","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2014","34.5","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2015","36.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2016","35.7","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2017","41.9","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2018","39.9","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2019","37.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2020","49.1","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2021","63.4","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2022","56.0","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2023","53.2","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","GGXWDG_NGDP","General government gross debt","2024","50.6","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","1998","20.31052633566","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","1999","18.328016582236","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
"MMR","rev","General government revenue","2000","15.41064057964","percent of GDP","international_estimate_or_projection_status_not_preserved","IMF DataMapper API"
